product_region	product_sector	original_supply_total_meur	original_use_total_meur	original_gap_meur	balanced_supply_total_meur	balanced_use_total_meur	balanced_gap_meur
ROW	CONSTRUCTION	6.8599923719999995e6	6.859991932e6	0.43999999947845936	6.859990257025492e6	6.8599902570255e6	-7.450580596923828e-9
ROW	EXTRACTIVE	3.583752072999999e6	3.5837515229999996e6	0.5499999993480742	3.5837497955950815e6	3.5837497955950843e6	-2.7939677238464355e-9
ROW	INC_EE	2131.9624625662686	2131.9585916063356	0.003870959933010454	2130.3573990528757	2130.3573990527802	9.549694368615746e-11
ROW	METAL_COMPONENTS	1.3347254519999996e6	1.3347246340000005e6	0.8179999990388751	1.3347231149717467e6	1.3347231149717479e6	-1.1641532182693481e-9
ROW	NEW_ELMA	995547.2185641375	995546.7216711999	0.49689293757546693	995544.9017606756	995544.9017606754	2.3283064365386963e-10
ROW	NEW_OFMA	399886.61957967555	399886.51294664963	0.10663302592001855	399884.4087627165	399884.40876271634	1.7462298274040222e-10
ROW	NEW_RATV	1.4409145589430956e6	1.440914174711486e6	0.384231609525159	1.440912274507557e6	1.4409122745075587e6	-1.6298145055770874e-9
ROW	OTHER_MANUFACTURING	1.9130680635913093e7	1.9130670852670655e7	9.78324243798852	1.9130677297898304e7	1.913067729789831e7	-7.450580596923828e-9
ROW	OTHER_SERVICES	2.6565053039261542e7	2.656503764890438e7	15.390357162803411	2.6565049034054864e7	2.6565049034054887e7	-2.2351741790771484e-8
ROW	PUBLIC_SOCIAL	1.1303444957e7	1.1303442464000002e7	2.4929999988526106	1.1303442442056399e7	1.1303442442056406e7	-7.450580596923828e-9
ROW	REC_EE	5.337514991789607	5.337505300562977	9.691226630081928e-6	5.131689693908765	5.131689693813634	9.513101417724101e-11
ROW	REF_ELMA	73325.93214375938	73325.91308825288	0.019055506490985863	73323.74499251998	73323.74499251995	2.9103830456733704e-11
ROW	REF_OFMA	25907.437391095627	25907.4295474966	0.00784359902900178	25905.2806469344	25905.280646934294	1.0550138540565968e-10
ROW	REF_RATV	93492.36172647968	93492.33342122562	0.028305254061706364	93490.16879474136	93490.16879474133	2.9103830456733704e-11
ROW	REP_ELMA	928.601088333809	928.5973110247546	0.003777309054385114	927.4212172882828	927.4212172881874	9.538325684843585e-11
ROW	REP_OFMA	580.1446429678534	580.1422830894946	0.002359878358788592	579.0366037119301	579.0366037118349	9.515588317299262e-11
ROW	REP_RATV	2093.5722817831415	2093.5637656725803	0.008516110561231471	2092.263660326945	2092.2636603268497	9.5042196335271e-11
ROW	REU_ELMA	19419.773898447456	19419.768812101294	0.005086346161988331	19417.6120150977	19417.612015097595	1.0550138540565968e-10
ROW	REU_OFMA	9722.664904917518	9722.65998544999	0.004919467528452515	9720.538915948478	9720.538915948373	1.0550138540565968e-10
ROW	REU_RATV	35086.253052118474	35086.23529919949	0.01775291898229625	35084.06960170662	35084.06960170653	9.458744898438454e-11
ROW	TRADE	8.180396730608546e6	8.180395989582113e6	0.7410264331847429	8.180394369082387e6	8.180394369082392e6	-5.587935447692871e-9
ROW	TRANSPORT	4.2397023e6	4.239699566999999e6	2.733000000938773	4.239699720624945e6	4.239699720624942e6	2.7939677238464355e-9
ROW	UTIL_WASTE	2.887894506022442e6	2.8878922289030924e6	2.2771193496882915	2.887892006305553e6	2.887892006305553e6	0.0
SK	AGRI_FOOD	7447.5289999999995	7447.335999999998	0.1930000000011205	7447.480930787383	7447.480930787287	9.549694368615746e-11
SK	BASIC_METALS	4162.455999999999	4162.397	0.058999999999286956	4162.410882503184	4162.41088250309	9.458744898438454e-11
SK	CONSTRUCTION	13902.681000000002	13902.659000000001	0.02200000000084401	13902.637514392301	13902.637514392201	1.000444171950221e-10
SK	EXTRACTIVE	466.52700000000004	466.45	0.07700000000005502	466.508803363673	466.50880336357807	9.492850949754938e-11
SK	INC_EE	3.5585398161429973	3.558312109716628	0.0002277064263691564	3.586429596416524	3.5864295963213784	9.514566912116607e-11
SK	METAL_COMPONENTS	5300.393000000002	5300.376	0.017000000001644366	5300.35319047783	5300.353190477737	9.276845958083868e-11
SK	NEW_ELMA	2049.4487999999997	2049.4158999999972	0.03290000000242799	2049.4086533644017	2049.4086533643067	9.5042196335271e-11
SK	NEW_OFMA	0.049287261527309945	0.049286818532409474	4.429949004708389e-7	0.1899794429312689	0.18997944283612436	9.514453114256582e-11
SK	NEW_RATV	4049.802112738473	4049.7657131814644	0.03639955700873543	4049.760069249983	4049.760069249889	9.413270163349807e-11
SK	OTHER_MANUFACTURING	48172.95679999999	48172.15309999998	0.8037000000113039	48172.81396577746	48172.813965777365	9.458744898438454e-11
SK	OTHER_SERVICES	43917.5107012492	43916.34800861632	1.1626926328826812	43917.3174503319	43917.31745033176	1.4551915228366852e-10
SK	PUBLIC_SOCIAL	15078.131000000001	15077.999999999998	0.13100000000304135	15078.096006978103	15078.096006977998	1.0550138540565968e-10
SK	REC_EE	1.0292963394153414	1.029230476038644	6.586337669745035e-5	1.0784862306229173	1.0784862305277765	9.514078413985771e-11
SK	REF_ELMA	431.7624432515496	431.76215436120185	0.00028889034774692846	431.7445295405293	431.74452954043437	9.492850949754938e-11
SK	REF_OFMA	0.00838370275275986	0.008383697054007893	5.6987519668483255e-9	0.18127869724996465	0.18127869715481834	9.514630749940522e-11
SK	REF_RATV	688.8663738156326	688.8659057066175	0.0004681090151734679	688.8448537671289	688.8448537670339	9.5042196335271e-11
SK	REP_ELMA	0.46704515326935775	0.46682020280487885	0.00022495046447890132	0.5541570324042673	0.5541570323091196	9.514766752261039e-11
SK	REP_OFMA	4.874107434248985e-6	4.871751943463358e-6	2.355490785626739e-9	0.10874371319756507	0.10874371310241664	9.514843080093982e-11
SK	REP_RATV	0.40049239462803127	0.4002994990384696	0.00019289558956164798	0.48858561551090773	0.48858561541576107	9.514666832188823e-11
SK	REU_ELMA	252.88768272163372	252.88166424268252	0.006018478951204997	252.86496968587502	252.8649696857799	9.512746146356221e-11
SK	REU_OFMA	0.004183387878095638	0.0041833583124468365	2.9565648801584132e-8	0.18274272158723529	0.1827427214920896	9.514569687674168e-11
SK	REU_RATV	343.73776404405737	343.73533529329194	0.0024287507654321416	343.7151777595782	343.7151777594829	9.526957001071423e-11
SK	TRADE	14380.1969254053	14380.127240150898	0.06968525440242956	14380.130238628268	14380.130238628171	9.640643838793039e-11
SK	TRANSPORT	10701.055	10700.711000000001	0.34399999999914144	10700.972859417077	10700.972859416983	9.458744898438454e-11
SK	UTIL_WASTE	11655.870163844444	11655.71645741421	0.1537064302337967	11655.798857131145	11655.798857131045	1.000444171950221e-10
