product_region	product_sector	activity_region	activity_sector	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
DE	REF_RATV	DE	REU_OFMA	0.00015461168359039227	0.0	-0.00015461168359039227	0.00015461168359039227	-100.0	1.1952386351327787e-8
DE	REU_RATV	DE	REF_OFMA	0.00015362694715741377	0.0	-0.00015362694715741377	0.00015362694715741377	-100.0	1.1800619446453401e-8
SK	REF_RATV	SK	BASIC_METALS	0.7021245079265244	0.7019734311354691	-0.00015107679105530458	0.00015107679105530458	-0.021517094097947997	1.1412098397784079e-8
DE	REF_ELMA	DE	REU_OFMA	0.00015105255057439333	0.0	-0.00015105255057439333	0.00015105255057439333	-100.0	1.1408436517514827e-8
IT	EXTRACTIVE	IT	EXTRACTIVE	5697.226	5697.225850103275	-0.00014989672490628436	0.00014989672490628436	-2.6310475467584466e-6	1.1234514068815145e-8
DE	REF_ELMA	DE	REU_RATV	3.921663939485225	3.9215151306074025	-0.0001488088778223151	0.0001488088778223151	-0.0037945341599527377	1.1072041059368354e-8
IT	REF_ELMA	IT	REF_ELMA	2151.301047812684	2151.300899737102	-0.0001480755818192847	0.0001480755818192847	-6.883071152214574e-6	1.096318896555984e-8
PL	REF_ELMA	PL	REP_RATV	0.0003423203736007322	0.00019864604742379657	-0.0001436743261769356	0.0001436743261769356	-41.970720195728454	1.0321156001198243e-8
IT	REU_RATV	IT	REF_ELMA	1.0861672522830943	1.086309170068931	0.0001419177858366094	0.0001419177858366094	0.013065923828793591	1.0070328968382868e-8
DE	REU_OFMA	DE	CONSTRUCTION	0.00014177620936097027	0.0	-0.00014177620936097027	0.00014177620936097027	-100.0	1.0050246770382838e-8
DE	NEW_OFMA	DE	REF_RATV	0.0001401183679590271	0.0	-0.0001401183679590271	0.0001401183679590271	-100.0	9.816578519750657e-9
DE	NEW_RATV	DE	REF_OFMA	0.00014011836795902707	0.0	-0.00014011836795902707	0.00014011836795902707	-100.0	9.816578519750652e-9
DE	BASIC_METALS	DE	NEW_OFMA	0.00013564172926007953	0.0	-0.00013564172926007953	0.00013564172926007953	-100.0	9.199339358332357e-9
IT	REF_RATV	IT	NEW_OFMA	0.7393342792729761	0.7394679821859329	0.00013370291295677905	0.00013370291295677905	0.018084230192634342	8.938234466564019e-9
DE	REP_OFMA	DE	REP_OFMA	0.0038489404681514633	0.003980307373971314	0.0001313669058198505	0.0001313669058198505	3.4130667103547667	8.628631972340736e-9
PL	REF_ELMA	PL	REP_ELMA	0.00408311046331825	0.004212977427354136	0.00012986696403588602	0.00012986696403588602	3.1805890436367505	8.432714173949057e-9
PL	NEW_OFMA	PL	NEW_ELMA	2.8100551762037185	2.8099286088142583	-0.00012656738946015267	0.00012656738946015267	-0.004504089120098366	8.009652037378982e-9
PL	REP_RATV	PL	CONSTRUCTION	0.0001248024503353063	0.0	-0.0001248024503353063	0.0001248024503353063	-100.0	7.787825804848297e-9
PL	NEW_OFMA	PL	REU_ELMA	0.00014868472064589737	0.000273456565661813	0.00012477184501591564	0.00012477184501591564	83.91705917991948	7.784006654337836e-9
DE	REU_ELMA	DE	REF_OFMA	0.0001247147369605186	0.0	-0.0001247147369605186	0.0001247147369605186	-100.0	7.776882807565672e-9
FR	INC_EE	FR	INC_EE	38.723525815860455	38.72364780610143	0.00012199024097725442	0.00012199024097725442	0.0003150287542445048	7.440809446844301e-9
SK	TRADE	SK	NEW_OFMA	0.00012069225417573566	0.0	-0.00012069225417573566	0.00012069225417573566	-100.0	7.2833101090101916e-9
PL	NEW_OFMA	PL	REU_RATV	0.00011616069684667258	0.00023643923899908335	0.00012027854215241076	0.00012027854215241076	103.5449557531267	7.233463851154627e-9
FR	INC_EE	FR	REC_EE	45.962938293487255	45.96305569564976	0.0001174021625018895	0.0001174021625018895	0.00025542788790447035	6.891633880060035e-9
DE	REF_RATV	DE	REU_RATV	4.014067037291906	4.013949831725998	-0.00011720556590866238	0.00011720556590866238	-0.002919870665332366	6.8685723399849e-9
