activity_region	activity_sector	original_total_meur	target_meur	balanced_total_meur	delta_from_original_meur	target_residual_meur	sum_abs_cell_adjustment_meur
REU	NEW_ELMA	105307.0846228951	105307.0846228951	105307.08462289513	2.9103830456733704e-11	2.9103830456733704e-11	0.5719984747370279
REU	NEW_OFMA	9940.295936314053	9940.295936314053	9940.295936314056	3.637978807091713e-12	3.637978807091713e-12	0.5665419454870027
REU	NEW_RATV	177100.86673833782	177100.86673833782	177100.86673833767	-1.4551915228366852e-10	-1.4551915228366852e-10	0.5633700040356369
REU	OTHER_MANUFACTURING	2.593663406702452e6	2.593663406702452e6	2.5936634067024523e6	4.656612873077393e-10	4.656612873077393e-10	0.5719984749114759
REU	OTHER_SERVICES	6.108700157833912e6	6.108700157833912e6	6.108700157833912e6	0.0	0.0	0.5719984750451328
REU	PUBLIC_SOCIAL	2.4492173650000007e6	2.4492173650000007e6	2.4492173649999998e6	-9.313225746154785e-10	-9.313225746154785e-10	0.5719984745095383
REU	REC_EE	109.562959688862	109.562959688862	109.56295968886204	4.263256414560601e-14	4.263256414560601e-14	0.5719984747365585
REU	REF_ELMA	14750.417879865505	14750.417879865505	14750.417879865503	-1.8189894035458565e-12	-1.8189894035458565e-12	0.5719984747359148
REU	REF_OFMA	2261.262170412553	2261.262170412553	2261.262170412553	0.0	0.0	0.5719984747364903
REU	REF_RATV	40261.05013929754	40261.05013929754	40261.05013929754	0.0	0.0	0.5719984747341453
REU	REP_ELMA	81.37722509434484	81.37722509434484	81.37722509434481	-2.842170943040401e-14	-2.842170943040401e-14	0.4978323953022218
REU	REP_OFMA	13.89301783721142	13.89301783721142	13.89301783721141	-1.0658141036401503e-14	-1.0658141036401503e-14	0.45218256030760307
REU	REP_RATV	247.3607417348138	247.3607417348138	247.3607417348137	-8.526512829121202e-14	-8.526512829121202e-14	0.5041674888604207
REU	REU_ELMA	4236.459255874673	4236.459255874673	4236.459255874672	-9.094947017729282e-13	-9.094947017729282e-13	0.5719984747364526
REU	REU_OFMA	535.3519915251422	535.3519915251422	535.3519915251422	0.0	0.0	0.5719984747365463
REU	REU_RATV	9531.771085629662	9531.771085629662	9531.771085629662	0.0	0.0	0.5719984747358496
REU	TRADE	1.9454597156588126e6	1.9454597156588126e6	1.9454597156588126e6	0.0	0.0	0.5719984748552132
REU	TRANSPORT	1.1799977849999992e6	1.1799977849999992e6	1.1799977849999995e6	2.3283064365386963e-10	2.3283064365386963e-10	0.5719984747136986
REU	UTIL_WASTE	764832.5924106975	764832.5924106975	764832.5924106974	-1.1641532182693481e-10	-1.1641532182693481e-10	0.5719984747389915
ROW	AGRI_FOOD	9.170688407999996e6	9.170688407999996e6	9.170688407999994e6	-1.862645149230957e-9	-1.862645149230957e-9	0.267465988241373
ROW	BASIC_METALS	2.840059847e6	2.840059847e6	2.840059847000001e6	9.313225746154785e-10	9.313225746154785e-10	0.2674659887345411
ROW	CONSTRUCTION	6.7772273780000005e6	6.7772273780000005e6	6.777227377999999e6	-1.862645149230957e-9	-1.862645149230957e-9	0.26746598868460014
ROW	EXTRACTIVE	3.648929559e6	3.648929559e6	3.648929558999999e6	-9.313225746154785e-10	-9.313225746154785e-10	0.24567002721610756
ROW	INC_EE	1735.4700784342815	1735.4700784342815	1735.4700784342815	0.0	0.0	0.2283255226885705
ROW	METAL_COMPONENTS	1.3486719659999995e6	1.3486719659999995e6	1.3486719659999993e6	-2.3283064365386963e-10	-2.3283064365386963e-10	0.26746598855326165
