product_region	product_sector	use_region	use_code	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
ROW	OTHER_SERVICES	PL	REF_ELMA	6.62361257955002	6.879425215415652	0.25581263586563185	0.25581263586563185	3.862131620672335	0.03272005233426118
ROW	OTHER_SERVICES	PL	REF_RATV	6.196252109744236	6.451991915933026	0.25573980618878966	0.25573980618878966	4.127330548520013	0.03270142423473985
ROW	OTHER_SERVICES	SK	REF_RATV	10.823157006548994	11.07885140317301	0.2556943966240155	0.2556943966240155	2.362475167543972	0.032689812232459675
ROW	OTHER_SERVICES	IT	REF_RATV	13.485290379575824	13.74092058333856	0.2556302037627365	0.2556302037627365	1.895622538094558	0.032673400537889086
ROW	OTHER_SERVICES	SK	REF_ELMA	6.786469544755798	7.041847070568597	0.2553775258127988	0.2553775258127988	3.7630394438318846	0.032608840345133366
ROW	OTHER_SERVICES	IT	EXTRACTIVE	11.089	11.344329092715842	0.2553290927158418	0.2553290927158418	2.3025438967972027	0.03259647279354747
ROW	OTHER_SERVICES	FR	REU_ELMA	11.157350675405958	11.412602700910794	0.25525202550483606	0.25525202550483606	2.2877476287223426	0.032576798262160735
ROW	OTHER_SERVICES	SK	NEW_RATV	16.744017286810816	16.999258837898555	0.2552415510877388	0.2552415510877388	1.5243746271618543	0.0325741247008374
ROW	OTHER_SERVICES	ROW	REP_OFMA	54.57376212774455	54.82899122532774	0.25522909758318946	0.25522909758318946	0.46767730065183555	0.03257094612656462
ROW	OTHER_SERVICES	SK	EXTRACTIVE	9.494129340909799	9.749307311264229	0.25517797035442946	0.25517797035442946	2.6877448283212075	0.032557898277103044
ROW	OTHER_SERVICES	FR	REU_RATV	10.471923877810447	10.727073979870012	0.2551501020595648	0.2551501020595648	2.4365160121170932	0.03255078729050316
ROW	OTHER_SERVICES	SK	REU_RATV	3.6321503994198623	3.887191515363473	0.25504111594361056	0.25504111594361056	7.021766388978454	0.032522985410881104
ROW	OTHER_SERVICES	IT	P3_S13	6.0059999999999985	6.260965677433528	0.25496567743352916	0.25496567743352916	4.245182774451036	0.03250374833456922
ROW	OTHER_SERVICES	SK	REU_ELMA	2.807921623096999	3.0628734809018594	0.2549518578048602	0.2549518578048602	9.079735549158984	0.03250022489907482
ROW	OTHER_SERVICES	PL	NEW_RATV	31.311330393002752	31.56603968924646	0.254709296243707	0.254709296243707	0.8134732476925596	0.03243841279648224
ROW	OTHER_SERVICES	IT	REF_OFMA	3.8728648472460825	4.1271709623335635	0.254306115087481	0.254306115087481	6.566356563367117	0.032335800085443574
ROW	OTHER_SERVICES	SK	P51G	196.55653861034915	196.81062017082468	0.25408156047552666	0.25408156047552666	0.12926639951633168	0.032278719686839354
ROW	OTHER_SERVICES	PL	REU_ELMA	3.4718258249774867	3.725822921063492	0.2539970960860054	0.2539970960860054	7.315951573914353	0.03225726241006173
