instrument,wedge_percent,family,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
repair_support,1.0,OFMA,INC,729,-0.000306328758938601,-0.0003799938614764131,-0.0002444141098329744,-1.1492013238639771e-5,-1.4255581166520722e-5,-9.169267017707209e-6
repair_support,1.0,OFMA,REC,729,0.0009126967272264502,0.00013985546904188295,0.0032282152031615635,8.12295678004168e-5,1.2447069180711637e-5,0.0002873095935343342
repair_support,1.0,OFMA,REP,729,1194.8682282110547,595.9235633938378,2401.669080797951,1.3260279273983613,0.6613376010826512,2.6652983135013204
repair_support,1.0,OFMA,REU,729,-0.00025699826168490425,-0.0006359220795222331,2.3411679694662624e-5,-0.0007255699533056081,-0.001795366048470258,6.609698926169817e-5
repair_support,1.0,RATV,INC,729,-0.003867505884301181,-0.005543497580958956,-0.002907527105463714,-1.0740059570280499e-5,-1.5394286661302093e-5,-8.074199561438527e-6
repair_support,1.0,RATV,REC,729,0.01737476443405228,0.002947456408705307,0.06252823520225093,0.00012257638454168194,2.079386753959253e-5,0.00044112741971007375
repair_support,1.0,RATV,REP,729,12637.238250433118,6313.850901643673,25379.201080700615,0.4664470407535258,0.23304752276311122,0.9367595202516465
repair_support,1.0,RATV,REU,729,-0.00021790851171621384,-0.013455864784438276,0.006060998122001671,-1.6763238420816044e-5,-0.0010351310637812864,0.000466259696727911
repair_support,2.0,ELMA,INC,729,-0.032275557883707506,-0.04084676987048397,-0.02645120951116553,-2.109246999041267e-5,-2.669386136725417e-5,-1.7286187425005356e-5
repair_support,2.0,ELMA,REC,729,0.39840706607549947,0.12143876574449308,1.0532211486947887,0.0007167650673684928,0.00021847771418166375,0.0018948261511383012
repair_support,2.0,ELMA,REP,729,20471.315150946983,10197.379290223158,41332.14925713745,0.919616362232335,0.4580886366132939,1.856730769998153
repair_support,2.0,ELMA,REU,729,-9.868825591241581e-5,-0.0031603763616268044,0.0013150703477227133,-4.700865279960664e-5,-0.001505397311222599,0.0006264137998144272
repair_support,2.0,OFMA,INC,729,-0.0005974233560294973,-0.0007516797375518025,-0.0004957509504391056,-2.2412512427341792e-5,-2.8199485823967324e-5,-1.859824231082516e-5
