instrument,wedge_percent,activity_group,valid_parameter_configurations,median_change_million_eur,lower_quartile_change_million_eur,upper_quartile_change_million_eur,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
reuse_support,0.5,New CE-RISE products,729,-1.829061813967181,-41.043478370451034,19.1704854444822,-0.0003512960325705623,-0.00788295453125208,0.003681950728849968
reuse_support,0.5,Recycling,729,0.007630211689117705,0.001623496355988352,0.030161436714845835,0.0010812229911867637,0.00023005411352559638,0.004273962525635969
reuse_support,0.5,Refurbishment,729,0.04557294752413615,-6.612582131865638,3.0538632656794746,5.3433080943500303e-5,-0.007753078426873219,0.0035805742632863393
reuse_support,0.5,Repair,729,-0.0015609732505751856,-0.10245069807752179,0.047975113106971036,-0.0002492862904040942,-0.01636130181194844,0.007661590587555948
reuse_support,0.5,Reuse,729,52.77757645220527,28.60918958302109,101.16596426108308,0.21494153049220135,0.11651355390583579,0.4120076869490857
reuse_support,0.5,Trade,729,-4.323970422467028,-7.226537731539793,-1.0713277008471778,-0.00013636113713362327,-0.00022789677226276402,-3.378549094027922e-5
reuse_support,1.0,All industries,729,69.08429516537599,-72.03960513638232,120.21645283024773,0.00021492863301003813,-0.0002241229184893238,0.00037400624570651186
reuse_support,1.0,Basic metals,729,0.5222851635053303,-0.8796878719608685,1.4577942422342858,0.00011815208266485813,-0.00019900422495276184,0.0003297842593521692
reuse_support,1.0,New CE-RISE products,729,-6.1055622111051715,-83.8108606973093,38.1055742599043,-0.001172655710699082,-0.016097008107748133,0.007318690354884252
reuse_support,1.0,Recycling,729,0.03779519442573853,0.014709982773001395,0.097756149224974,0.0053556879984652805,0.002084446961866341,0.013852328136867882
reuse_support,1.0,Refurbishment,729,-0.05899399293401955,-13.275635418371014,5.83483736889318,-6.916890330942273e-5,-0.015565332953809661,0.0068411931694353275
reuse_support,1.0,Repair,729,-0.004446679365598512,-0.20606337259054253,0.09636332829614447,-0.0007101314536142932,-0.0329081704136649,0.015389153272969611
reuse_support,1.0,Reuse,729,106.02769943757153,57.37065949906197,203.7563256587493,0.43180755018029837,0.2336472834610012,0.8298163621529607
reuse_support,1.0,Trade,729,-11.867034211090868,-18.45824537153203,-5.1649987670716655,-0.00037423990484682855,-0.0005821009587264376,-0.0001628838859610912
reuse_support,2.0,All industries,729,11.731456189183447,-348.50842288263965,185.1035837559309,3.649781525489477e-5,-0.001084246987596233,0.000575877051747221
reuse_support,2.0,Basic metals,729,0.8129110777217647,-1.6803720423263258,2.3305780576079087,0.00018389788484536002,-0.00038013612165604466,0.0005272266389397072
reuse_support,2.0,New CE-RISE products,729,-6.939074313857418,-170.0937794676104,76.91380135512475,-0.0013327429710260795,-0.03266880836674508,0.014772334679968234
reuse_support,2.0,Recycling,729,0.07807468737799905,0.03523215063760332,0.17609093132466713,0.011063408259087698,0.0049924973053159655,0.024952592568187836
reuse_support,2.0,Refurbishment,729,-0.6798434297505078,-26.7511295943322,11.81977150730882,-0.0007970985200296928,-0.03136499503649729,0.013858370849100866
reuse_support,2.0,Repair,729,-0.009218358921574235,-0.4165582561813413,0.1902831319053333,-0.0014721652009982607,-0.06652404990342768,0.030388077434734186
reuse_support,2.0,Reuse,729,213.98180115905922,115.51283045866293,413.2883842351174,0.8714605510883366,0.47043661796300196,1.6831549271199238
reuse_support,2.0,Trade,729,-27.749164029124586,-52.0296241883334,-16.03972066696042,-0.0008751002416618406,-0.0016408111124698098,-0.000505830136601309
virgin_metal_tax,0.25,All industries,729,21.021619724233574,-1.9565705246240555,38.93498003531736,6.540050788919484e-5,-6.0871002192103e-6,0.00012113088821857503
