instrument,wedge_percent,parameter,value_at_lowest_median,lowest_median_reduction_tonnes,value_at_highest_median,highest_median_reduction_tonnes,conditional_median_range_tonnes,changes_material_outcome_sign
virgin_metal_tax,0.5,EOL-allocation elasticity,0.5,668.4900705218315,2.0,928.4651874303818,259.97511690855026,false
virgin_metal_tax,0.5,EOL-productivity elasticity,0.5,706.3728417158127,2.0,845.4459478855133,139.07310616970062,false
virgin_metal_tax,1.0,Armington elasticity,0.5,701.1576861739159,2.0,3889.7769748568535,3188.6192886829376,false
virgin_metal_tax,1.0,CET transformation elasticity,2.0,709.4228934049606,0.5,3303.263165950775,2593.8402725458145,false
virgin_metal_tax,1.0,Metal-substitution elasticity,0.5,1874.4980121850967,2.0,3200.601558148861,1326.1035459637642,false
virgin_metal_tax,1.0,EOL-allocation elasticity,0.5,2257.2048916220665,2.0,2484.357582449913,227.15269082784653,false
virgin_metal_tax,1.0,Circular-service elasticity,0.5,2291.845230579376,2.0,2516.81880903244,224.97357845306396,false
virgin_metal_tax,1.0,EOL-productivity elasticity,1.0,2331.611390173435,2.0,2390.7000155448914,59.088625371456146,false
virgin_metal_tax,2.0,Armington elasticity,0.5,1628.9045380353928,2.0,7677.670138895512,6048.765600860119,false
virgin_metal_tax,2.0,CET transformation elasticity,2.0,1332.3012572526932,0.5,6653.38662737608,5321.085370123386,false
virgin_metal_tax,2.0,Metal-substitution elasticity,0.5,3115.917560517788,2.0,6382.132450044155,3266.214889526367,false
virgin_metal_tax,2.0,Circular-service elasticity,0.5,3724.9818752408028,2.0,4830.556941151619,1105.5750659108162,false
virgin_metal_tax,2.0,EOL-allocation elasticity,1.0,3963.2075070142746,2.0,4583.597745835781,620.3902388215065,false
virgin_metal_tax,2.0,EOL-productivity elasticity,2.0,4112.543904185295,1.0,4300.579168915749,188.0352647304535,false
