instrument,wedge_percent,indicator,material,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
reuse_support,1.0,recycled_metal_output,recycled,729,35.34945474777737,11.638794251490594,96.78068914359505,0.004946534532888219,0.0016286445744742894,0.013542755450567007
reuse_support,2.0,ce_route_metal_demand,primary,729,45.12350397182112,-2209.0264621937604,1451.9837622220336,0.00017760854576930824,-0.008694847318620646,0.005715086413722035
reuse_support,2.0,ce_route_metal_demand,recycled,729,1.0678680504179066,-2.3130900778884964,2.8340082798931983,0.0027516906333399692,-0.005960388365407329,0.007302694408888519
reuse_support,2.0,observed_new_product_output,all,729,71244.53117780466,-46039.05503284995,121580.46135311548,0.04182433159400634,-0.027027375605336357,0.0713742015972329
reuse_support,2.0,observed_recycled_metal_output,recycled,729,2.693172004860113,1.0666308453067188,6.5146864941088225,0.015197995310221517,0.006019166453192641,0.03676340560774296
reuse_support,2.0,observed_route_input_mass,all,729,-263.88743955800675,-3678.089650799161,1411.0047643286762,-0.0049888378996429394,-0.06953492397715211,0.026675290255003998
reuse_support,2.0,primary_metal_output,primary,729,-2230.983997289557,-4952.587949210778,-442.7695230972022,-0.0005056833417914575,-0.0011225724737226606,-0.00010035982882675211
reuse_support,2.0,recycled_metal_output,recycled,729,73.59089523977798,29.40394119187397,172.12975367838692,0.010297751612013512,0.004114564469143694,0.02408653193632297
virgin_metal_tax,0.25,ce_route_metal_demand,primary,729,-70.1558652588254,-301.4155970313253,11.444325460432983,-0.00027613727013727423,-0.0011863880494376504,4.50454823633704e-5
virgin_metal_tax,0.25,ce_route_metal_demand,recycled,729,95.47196253464955,47.83303254804204,189.5799998918095,0.24601288984232733,0.12325652740943975,0.4885112069249044
virgin_metal_tax,0.25,observed_new_product_output,all,729,-4936.303645707861,-10309.65673399615,1220.8118420676383,-0.002897872961105361,-0.006052317205750224,0.0007166815256191004
virgin_metal_tax,0.25,observed_recycled_metal_output,recycled,729,3.189623062799811,1.6236871689192505,6.3039131047496895,0.017999547099958935,0.009162723336615445,0.03557397805578789
virgin_metal_tax,0.25,observed_route_input_mass,all,729,11.141214316523397,-91.76096209098183,216.8428516568876,0.00021062659262377915,-0.0017347569333119456,0.0040994517905985324
virgin_metal_tax,0.25,primary_metal_output,primary,729,-0.6333407703787088,-16.779855241067708,0.22321921167895198,-1.43555434573704e-7,-3.80338598725445e-6,5.0595717876508295e-8
virgin_metal_tax,0.25,recycled_metal_output,recycled,729,95.86982823212566,48.932250800171005,178.85596779647972,0.013415296484690425,0.006847207971933877,0.02502774731413174
virgin_metal_tax,0.5,ce_route_metal_demand,primary,729,-263.3835898930433,-952.7136841340185,188.84979345574953,-0.0010366920177471018,-0.0037499324538101957,0.0007433229743296429
virgin_metal_tax,0.5,ce_route_metal_demand,recycled,729,190.77991152070874,95.8570033754906,380.623015510455,0.4916031484714978,0.24700506605114672,0.9807923237367684
virgin_metal_tax,0.5,observed_new_product_output,all,729,-14762.433669672111,-41736.97253636937,556.3071717818843,-0.008666334253698373,-0.024501824213489596,0.000326581917742733
virgin_metal_tax,0.5,observed_recycled_metal_output,recycled,729,6.401718148352753,3.316498660005621,12.604156629136327,0.03612590737571244,0.01871552614949919,0.07112724809092213
virgin_metal_tax,0.5,observed_route_input_mass,all,729,5.205270114403985,-225.7135956361263,390.4807259916946,9.840653601441722e-5,-0.004267154746964243,0.007382105977345102
virgin_metal_tax,0.5,primary_metal_output,primary,729,-96.2687132996507,-617.657166573219,-4.719974290579557,-2.1820633725062428e-5,-0.0001400005291179371,-1.0698473746695605e-6
virgin_metal_tax,0.5,recycled_metal_output,recycled,729,190.96276952579876,97.20318330189218,361.4762984170276,0.026721881304718607,0.013601876078008088,0.0505822510053371
virgin_metal_tax,1.0,ce_route_metal_demand,primary,729,-874.4342898261739,-2374.5239962699475,570.9726851745455,-0.0034418205351213994,-0.009346254540321225,0.0022473792893204785
virgin_metal_tax,1.0,ce_route_metal_demand,recycled,729,381.3820319810793,192.73536540930084,764.5068663405838,0.9827481635678673,0.49664197714260205,1.9699871930900088
virgin_metal_tax,1.0,observed_new_product_output,all,729,-44276.50282740813,-103315.02663931863,-5351.711244814849,-0.02599266365378783,-0.06065141929311538,-0.0031417393306988404
virgin_metal_tax,1.0,observed_recycled_metal_output,recycled,729,13.464941819188688,6.935150838001302,25.672441092036816,0.07598479497330302,0.03913615235815067,0.14487364290389051
