instrument,wedge_percent,x_parameter,x_value,y_parameter,y_value,valid_remaining_parameter_configurations,median_reduction_tonnes,minimum_reduction_tonnes,maximum_reduction_tonnes,material_outcome_regime
recycling_support,0.5,Armington elasticity,2.0,Circular-service elasticity,1.0,81,30.76910811662674,-22.65156465768814,323.66719675064087,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,Circular-service elasticity,2.0,81,38.919379353523254,-33.50950366258621,820.0558096170425,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,EOL-allocation elasticity,0.5,81,23.85447245836258,-65.39156359434128,163.63722717761993,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,EOL-allocation elasticity,1.0,81,28.91998517513275,-10.80773240327835,441.94171595573425,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,EOL-allocation elasticity,2.0,81,33.84583270549774,-15.353819131851196,496.668692946434,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,EOL-allocation elasticity,0.5,81,28.214404940605164,-11.801594972610474,683.8483199477196,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,EOL-allocation elasticity,1.0,81,30.54499077796936,-20.076373040676117,439.5927299261093,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,EOL-allocation elasticity,2.0,81,36.11369287967682,-16.145567655563354,436.51598328351974,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,EOL-allocation elasticity,0.5,81,30.76910811662674,-12.02513176202774,244.53150582313538,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,EOL-allocation elasticity,1.0,81,31.365605533123016,-33.50950366258621,372.21249002218246,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,EOL-allocation elasticity,2.0,81,37.761255979537964,-23.320895552635193,820.0558096170425,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,EOL-productivity elasticity,0.5,81,23.780521392822266,-13.633292615413666,414.40333038568497,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,EOL-productivity elasticity,1.0,81,30.90010416507721,-12.53782033920288,232.72340816259384,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,EOL-productivity elasticity,2.0,81,25.034494817256927,-65.39156359434128,496.668692946434,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,EOL-productivity elasticity,0.5,81,28.631108045578003,-12.131373286247253,683.8483199477196,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,EOL-productivity elasticity,1.0,81,36.11369287967682,-20.076373040676117,436.51598328351974,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,EOL-productivity elasticity,2.0,81,27.49240082502365,-13.627661883831024,187.19864523410797,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,EOL-productivity elasticity,0.5,81,29.629400610923767,-23.320895552635193,372.21249002218246,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,EOL-productivity elasticity,1.0,81,36.42597407102585,-17.448852598667145,820.0558096170425,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,EOL-productivity elasticity,2.0,81,33.91935312747955,-33.50950366258621,353.55459839105606,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,Metal-substitution elasticity,0.5,81,10.422456920146942,-26.562891125679016,310.26023066043854,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,Metal-substitution elasticity,1.0,81,26.25364637374878,-4.313024401664734,496.668692946434,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,Metal-substitution elasticity,2.0,81,96.48300266265869,-65.39156359434128,414.40333038568497,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,Metal-substitution elasticity,0.5,81,6.111608684062958,-20.076373040676117,109.94539737701416,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,Metal-substitution elasticity,1.0,81,28.631108045578003,-11.056396722793579,436.51598328351974,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,Metal-substitution elasticity,2.0,81,100.1725070476532,62.704451501369476,683.8483199477196,primary_metal_saving
recycling_support,0.5,Armington elasticity,2.0,Metal-substitution elasticity,0.5,81,1.9882062673568726,-33.50950366258621,86.95662981271744,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,Metal-substitution elasticity,1.0,81,30.219918251037598,2.698360502719879,820.0558096170425,primary_metal_saving
recycling_support,0.5,Armington elasticity,2.0,Metal-substitution elasticity,2.0,81,97.83160883188248,46.07972311973572,353.55459839105606,primary_metal_saving
recycling_support,0.5,CET transformation elasticity,0.5,Circular-service elasticity,0.5,81,30.33626437187195,-12.02513176202774,372.21249002218246,parameter_dependent
recycling_support,0.5,CET transformation elasticity,0.5,Circular-service elasticity,1.0,81,32.857240080833435,-7.501456141471863,496.668692946434,parameter_dependent
recycling_support,0.5,CET transformation elasticity,0.5,Circular-service elasticity,2.0,81,37.73376613855362,-16.145567655563354,683.8483199477196,parameter_dependent
recycling_support,0.5,CET transformation elasticity,1.0,Circular-service elasticity,0.5,81,27.36649125814438,-15.353819131851196,249.38035535812378,parameter_dependent
