instrument,wedge_percent,region,outcome,factor,valid_parameter_configurations,median_absolute_change,lower_quartile_absolute_change,upper_quartile_absolute_change,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.5,IT,Factor income,FAC_IT_LAB,729,0.38578749040607363,0.2717695818282664,0.44088039349298924,5.7993297976022e-5,4.085361690553661e-5,6.627510914098366e-5
recycling_support,0.5,IT,Household consumption,,729,0.37074673222377896,0.20447051886003464,0.47552124375943094,4.069263822416433e-5,2.2442395652781472e-5,5.219254077889796e-5
recycling_support,0.5,IT,Household disposable income,,729,0.6061029934789985,0.333852645708248,0.7791988672688603,4.0601116943343504e-5,2.2363839901941883e-5,5.219631757722467e-5
recycling_support,0.5,IT,Household utility,,729,-0.02516630745958537,-0.052047111792489886,-0.007874898088630289,-1.619938495957705e-5,-3.350238016898881e-5,-5.069019595346759e-6
recycling_support,0.5,PL,Factor income,FAC_PL_CAP,729,-0.047076929884497076,-0.18375460169045255,0.0018674403836484998,-2.2147897566334188e-5,-8.64495222107888e-5,8.785593799109732e-7
recycling_support,0.5,PL,Factor income,FAC_PL_LAB,729,0.010032807098468766,-0.02592039341107011,0.022615645546466112,6.073090286143254e-6,-1.5690213904303325e-5,1.3689773553337229e-5
recycling_support,0.5,PL,Household consumption,,729,-0.032256761158350855,-0.11897079751361161,0.004385347128845751,-1.4427158580828291e-5,-5.3210877366513365e-5,1.961390300466602e-6
recycling_support,0.5,PL,Household disposable income,,729,-0.054758961603511125,-0.20099175808718428,0.007404037460219115,-1.4495773347926256e-5,-5.320646858076454e-5,1.9599942318361175e-6
recycling_support,0.5,PL,Household utility,,729,-0.008298602675495204,-0.021445323563966667,-0.0032295976670866366,-2.5771715298534333e-5,-6.659949813087377e-5,-1.0029673049743884e-5
recycling_support,0.5,REU,Factor income,FAC_REU_CAP,729,-0.18640878796577454,-0.36773181334137917,-0.03558680787682533,-4.2152066446506906e-6,-8.315410448118335e-6,-8.047139336291476e-7
recycling_support,0.5,REU,Factor income,FAC_REU_LAB,729,-0.2144083110615611,-0.4113323539495468,-0.04526952654123306,-4.48163086414873e-6,-8.59779998142254e-6,-9.462380741913824e-7
recycling_support,0.5,REU,Household consumption,,729,-0.25263454765081406,-0.46447259932756424,-0.08279313705861568,-4.86140932578296e-6,-8.937777699075936e-6,-1.5931761207346374e-6
recycling_support,0.5,REU,Household disposable income,,729,-0.4529616180807352,-0.821050651371479,-0.14645575918257236,-4.9200458253602685e-6,-8.918209994968146e-6,-1.5907949322875443e-6
recycling_support,0.5,REU,Household utility,,729,-0.029825992533005774,-0.05313250201288611,-0.019938248791731894,-3.322774331205697e-6,-5.919243547244363e-6,-2.221227046209658e-6
recycling_support,0.5,SK,Factor income,FAC_SK_CAP,729,-0.011986147699644789,-0.05383180158241885,-0.0017321451668976806,-2.8834308192817175e-5,-0.00012949971885047146,-4.166910738980556e-6
recycling_support,0.5,SK,Factor income,FAC_SK_LAB,729,-0.020964527157047996,-0.10803333706280682,-0.004249313780746888,-6.550504014376521e-5,-0.00033755724738979213,-1.3277259615186025e-5
recycling_support,0.5,SK,Household consumption,,729,-0.020848126943747047,-0.09370101004606113,-0.004464825600734912,-5.374057593069731e-5,-0.0002415347075645653,-1.150905785349451e-5
recycling_support,0.5,SK,Household disposable income,,729,-0.03959921943896916,-0.17772568119107746,-0.008572706778068095,-5.38226678741561e-5,-0.00024156209241365316,-1.1651895066765641e-5
recycling_support,0.5,SK,Household utility,,729,-0.0035674481723617646,-0.015520582016506523,-0.0008235027207774692,-5.6581707369757745e-5,-0.0002461650421756282,-1.3061210061027764e-5
recycling_support,1.0,DE,Factor income,FAC_DE_CAP,729,0.09569055656902492,-0.000789404846727848,0.2113445163704455,7.832801207807304e-6,-6.46171519803066e-8,1.729971736427058e-5
recycling_support,1.0,DE,Factor income,FAC_DE_LAB,729,0.0959544728975743,-0.02835017372854054,0.25566858937963843,5.789422091204239e-6,-1.710510381778914e-6,1.542578823772688e-5
recycling_support,1.0,DE,Household consumption,,729,0.06341182277537882,-0.05757770547643304,0.19500029110349715,4.306420418750037e-6,-3.910214147379199e-6,1.3242849652870158e-5
recycling_support,1.0,DE,Household disposable income,,729,0.1194943436421454,-0.1068396046757698,0.3759613954462111,4.150442522703496e-6,-3.71090065728277e-6,1.3058410255832498e-5
recycling_support,1.0,DE,Household utility,,729,-0.018335571308853105,-0.03762089376687072,-0.013860222272342071,-7.4466558994243445e-6,-1.5279035803777634e-5,-5.629074993798204e-6
recycling_support,1.0,FR,Factor income,FAC_FR_CAP,729,0.1987107468303293,-0.04713971493765712,0.3467216371791437,2.587505522097059e-5,-6.138282637306777e-6,4.5148245132658565e-5
