instrument,wedge_percent,parameter,value,valid_parameter_configurations,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent,minimum_reduction_percent,maximum_reduction_percent,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes
recycling_support,1.0,Circular-service elasticity,2.0,243,1.7981874317039557e-5,6.411974204217817e-6,4.357605849472822e-5,-5.34810694392784e-6,0.005354222276980264,91.3495152592659,32.57339724898338,221.37023928761482
recycling_support,1.0,Metal-substitution elasticity,0.5,243,4.570682846381664e-6,2.463891178744648e-6,7.388570306224949e-6,-7.47577671011906e-6,0.005354222276980264,23.219473958015442,12.516785562038422,37.534592002630234
recycling_support,1.0,Metal-substitution elasticity,1.0,243,1.792172929319014e-5,1.4823146411656921e-5,2.194097488114721e-5,-8.016280162413726e-6,0.00022478982684746173,91.04397320747375,75.30289754271507,111.46209701895714
recycling_support,1.0,Metal-substitution elasticity,2.0,243,4.701932001236291e-5,4.2092894006473624e-5,5.0819988427924404e-5,3.323872855956502e-5,0.0008847442216008334,238.86231297254562,213.83563223481178,258.170045375824
recycling_support,1.0,Post-use activity productivity elasticity,0.5,243,1.7946519910818245e-5,6.881208992571903e-6,4.4975284827778735e-5,-8.016280162413726e-6,0.005354222276980264,91.16991174221039,34.95715156197548,228.478433072567
recycling_support,1.0,Post-use activity productivity elasticity,1.0,243,1.9925496927629728e-5,7.539751764234192e-6,4.375436577624652e-5,-2.9333517920166817e-6,0.00029412242597329696,101.22329038381577,38.30260720849037,222.2760560810566
recycling_support,1.0,Post-use activity productivity elasticity,2.0,243,1.8512758510150192e-5,6.688351286068826e-6,4.4802118016924435e-5,-2.7981083144869485e-6,0.0008847442216008334,94.04645401239395,33.977417320013046,227.59873032569885
recycling_support,1.0,Post-use allocation elasticity,0.5,243,1.7611153903858778e-5,7.3224121116853445e-6,4.3096082550124406e-5,-7.47577671011906e-6,0.005354222276980264,89.46622270345688,37.19850251078606,218.93191894888878
recycling_support,1.0,Post-use allocation elasticity,1.0,243,1.9238470954220725e-5,5.998434045037158e-6,4.59279740235968e-5,-8.016280162413726e-6,0.00022478982684746173,97.73313754796982,30.472576588392258,233.31817862391472
recycling_support,1.0,Post-use allocation elasticity,2.0,243,2.0195570142153306e-5,6.772173137978472e-6,4.451682396005755e-5,-1.9724656397687495e-6,0.0001770701560417017,102.59528625011444,34.403239756822586,226.14941123127937
recycling_support,2.0,Armington elasticity,0.5,243,4.426221221983181e-5,1.998975850143604e-5,9.537562477712378e-5,-1.02405038144973e-5,0.0013198947809935054,224.8559610247612,101.54974487423897,484.516626983881
recycling_support,2.0,Armington elasticity,1.0,243,4.716684741740347e-5,2.664665963446271e-5,0.00010175091843597856,-5.911084475161476e-6,0.005367446160790406,239.61176526546478,135.367392629385,516.9036838114262
recycling_support,2.0,Armington elasticity,2.0,243,5.0908045256756494e-5,2.9527703807353628e-5,0.00010580532342194588,-5.82183873040625e-6,0.021458906089878382,258.6173818707466,150.00335237383842,537.5004204809666
recycling_support,2.0,CET transformation elasticity,0.5,243,5.811883092177337e-5,3.736525370211465e-5,0.00010927749291087484,1.3662415115535061e-5,0.021458906089878382,295.24881213903427,189.81880047917366,555.1393492221832
recycling_support,2.0,CET transformation elasticity,1.0,243,4.7744939296468224e-5,2.9801916239977733e-5,0.00010175091843597856,-1.84349330624836e-6,0.010100918790711755,242.54852324724197,151.39637583494186,516.9036838114262
recycling_support,2.0,CET transformation elasticity,2.0,243,3.3824819007745405e-5,1.367144881036646e-5,8.597264227794151e-5,-1.02405038144973e-5,0.0004906521991801754,171.83307844400406,69.45217165350914,436.74864250421524
recycling_support,2.0,Circular-service elasticity,0.5,243,4.752087849269052e-5,2.735926889478057e-5,9.824252862247163e-5,-1.02405038144973e-5,0.021458906089878382,241.41027450561523,138.98751083016396,499.0807526111603
recycling_support,2.0,Circular-service elasticity,1.0,243,4.716684741740347e-5,2.5795645770153815e-5,0.00010251837511537096,-1.3025797389133414e-6,0.0013198947809935054,239.61176526546478,131.04416677355766,520.8024317622185
recycling_support,2.0,Circular-service elasticity,2.0,243,4.740267352692885e-5,2.0908576910409998e-5,0.00010331291009378299,-5.82183873040625e-6,0.005367446160790406,240.80978280305862,106.21742382645607,524.8387398719788
recycling_support,2.0,Metal-substitution elasticity,0.5,243,1.6767335684748045e-5,1.1118504255154635e-5,2.728677942464287e-5,-1.02405038144973e-5,0.021458906089878382,85.17955136299133,56.48298704624176,138.6192578971386
recycling_support,2.0,Metal-substitution elasticity,1.0,243,4.5300897490909725e-5,3.6970933869295e-5,5.399388005943945e-5,1.2066155051482053e-5,0.010100918790711755,230.13257426023483,187.81562077999115,274.29369616508484
recycling_support,2.0,Metal-substitution elasticity,2.0,243,0.00010420691094617758,9.369362262191483e-5,0.00011139915562513018,4.225374455955517e-5,0.0009088725404798072,529.3803434371948,475.97190696001053,565.9175838530064
recycling_support,2.0,Post-use activity productivity elasticity,0.5,243,4.864337438720635e-5,2.7281487985556435e-5,0.00010344472089059129,-1.3025797389133414e-6,0.010100918790711755,247.11265313625336,138.59237691760063,525.5083504021168
recycling_support,2.0,Post-use activity productivity elasticity,1.0,243,4.698329185074465e-5,2.6169548241457755e-5,9.814724682769e-5,-1.02405038144973e-5,0.0031501147835368984,238.67928671836853,132.94362446665764,498.59671264886856
recycling_support,2.0,Post-use activity productivity elasticity,2.0,243,4.680632088674276e-5,2.0401922509590287e-5,9.989089960202107e-5,-5.911084475161476e-6,0.021458906089878382,237.7802585363388,103.64357456564903,507.4546232819557
recycling_support,2.0,Post-use allocation elasticity,0.5,243,4.6134210210937005e-5,2.7875800610234355e-5,0.00010310169926403776,-5.911084475161476e-6,0.010100918790711755,234.36587673425674,141.61153772473335,523.76577013731
recycling_support,2.0,Post-use allocation elasticity,1.0,243,4.752087849269052e-5,2.212563446378828e-5,0.0001023351547192615,-1.02405038144973e-5,0.00179757274582795,241.41027450561523,112.40018406510353,519.8716559112072
recycling_support,2.0,Post-use allocation elasticity,2.0,243,4.7744939296468224e-5,2.4214819666529965e-5,9.937454859812751e-5,-5.82183873040625e-6,0.021458906089878382,242.54852324724197,123.01343005895615,504.83151441812515
refurbishment_support,0.25,Armington elasticity,0.5,243,7.3616412626092165e-6,-1.4509551301894872e-5,0.00010107606882786617,-5.740461120255801e-5,0.018739075788723712,37.39779007434845,-73.70980659127235,513.4753879904747
refurbishment_support,0.25,Armington elasticity,1.0,243,9.197795816341354e-6,-1.6034232798460084e-5,0.00010026883467371693,-4.418822863515385e-5,0.002560070602396389,46.725617945194244,-81.4553237259388,509.3745669424534
refurbishment_support,0.25,Armington elasticity,2.0,243,3.130300508097531e-5,-5.792438953106336e-6,0.00012259311183145054,-4.2431238826781845e-5,0.0007026891518674648,159.02204018831253,-29.4261032640934,622.7838734984398
