instrument,wedge_percent,region,activity_group,valid_parameter_configurations,median_output_change_percent,lower_quartile_output_change_percent,upper_quartile_output_change_percent
refurbishment_support,1.0,SK,Basic metals,729,-0.004597772053268604,-0.013576660611460638,0.0002456081983228107
refurbishment_support,1.0,SK,Metal components,729,0.0010367962151804435,-0.0036887219576108004,0.011257752432781043
refurbishment_support,1.0,SK,Other manufacturing,729,0.017503990201363354,-0.0018940744898391277,0.04676565904938025
refurbishment_support,1.0,SK,Other services,729,-0.029149940619571924,-0.08965683619457189,-0.007260354001719185
refurbishment_support,1.0,SK,Trade,729,-0.01869150401761695,-0.05674133953123778,0.0123483223482162
refurbishment_support,2.0,DE,Basic metals,729,-0.000378064253170354,-0.001024300659335796,-2.5164957084825585e-5
refurbishment_support,2.0,DE,Metal components,729,-0.001071138820363198,-0.0026422266868441047,-0.0004705272859116967
refurbishment_support,2.0,DE,Other manufacturing,729,-0.0013093419366616572,-0.002286239226279021,-0.000657275930671109
refurbishment_support,2.0,DE,Other services,729,-0.0026625831507476336,-0.0033315169335579333,-0.00235089215748774
refurbishment_support,2.0,DE,Trade,729,-0.001544498938588214,-0.0025297660032896963,-0.0011212497931789597
refurbishment_support,2.0,FR,Basic metals,729,-0.0015280162226263667,-0.004146217292933838,-6.892073041197802e-5
refurbishment_support,2.0,FR,Metal components,729,-0.004506427177253603,-0.009866343060571155,-0.0014573027816600175
refurbishment_support,2.0,FR,Other manufacturing,729,-0.00799239137083692,-0.015419863256893651,-0.003235304998028321
refurbishment_support,2.0,FR,Other services,729,-0.0011169197036475793,-0.001998123965341049,-0.000728850299769324
refurbishment_support,2.0,FR,Trade,729,-0.0013065896332764605,-0.002852399257946568,-0.0008205355901513847
refurbishment_support,2.0,IT,Basic metals,729,-0.0008091236339625469,-0.0019744481369905246,-0.00011140498720221091
refurbishment_support,2.0,IT,Metal components,729,-0.0013197780875717883,-0.0020517710870526025,-0.0008510097883385298
refurbishment_support,2.0,IT,Other manufacturing,729,-0.0011757988719329792,-0.002056988405263475,-0.0004759728410963522
refurbishment_support,2.0,IT,Other services,729,-0.0013700865421517618,-0.006088450580388213,0.004139678435721727
refurbishment_support,2.0,IT,Trade,729,-0.0023462187932810174,-0.0052414876703821564,-0.0009869090841996327
