instrument,wedge_percent,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
reuse_support,1.0,INC,729,-0.76676272266475,-1.1626095789775215,-0.5268124997519877,-0.00039999095696765613,-0.0006064892101937879,-0.00027481804956036376
reuse_support,1.0,REC,729,4.994731083904222,1.8258191148669112,14.044219805335866,0.00704651424570448,0.0025758464643771285,0.01981343805415608
reuse_support,1.0,REP,729,-101.1322067534474,-1833.9477285063822,697.161145878015,-0.002012407133018798,-0.03649331512588653,0.01387265350838052
reuse_support,1.0,REU,729,8.117495778464221,4.40901560553501,15.540405869805301,0.5253105867163469,0.2853223010881956,1.0056721861113274
reuse_support,2.0,INC,729,-1.6732524123877397,-3.0553585791207785,-1.188091224198878,-0.0008728721596603251,-0.0015938643935305152,-0.0006197820155896718
reuse_support,2.0,REC,729,10.7727879546005,4.26651906928261,26.058742248238033,0.015198136298603115,0.006019160370445728,0.036763400349837855
reuse_support,2.0,REP,729,-299.8371234827374,-3722.6811276948765,1374.9928022871957,-0.005966391769849622,-0.07407679804309482,0.027360673834776535
reuse_support,2.0,REU,729,16.391987837762063,8.881571791012131,31.541428669466974,1.0607809333694702,0.5747565278540419,2.0411524505115612
virgin_metal_tax,0.25,INC,729,0.07469502683769252,-0.028239423101510452,0.1496380730085028,3.896555529160303e-5,-1.4731433253995597e-5,7.80604928385868e-5
virgin_metal_tax,0.25,REC,729,12.758487314117737,6.494734737044391,25.2156442068675,0.017999540135861792,0.009162703672703398,0.035573966472569093
virgin_metal_tax,0.25,REP,729,-1.2425634439351096,-106.00870170239497,204.62571421447998,-2.4725491691282407e-5,-0.0021094434138874316,0.00407180125999029
virgin_metal_tax,0.25,REU,729,0.0020418075050014917,-0.021497255788339165,0.050275654418700855,0.00013213226439362557,-0.0013911600768458108,0.003253507515249082
virgin_metal_tax,0.5,INC,729,-0.10357207880943603,-1.5045364800092953,0.232757712473271,-5.4029615281948506e-5,-0.0007848594730064766,0.0001214208481995969
