instrument,wedge_percent,region,factor_group,valid_parameter_configurations,median_utilisation_change_percentage_points,lower_quartile_utilisation_change_percentage_points,upper_quartile_utilisation_change_percentage_points
reuse_support,0.5,PL,Labour,729,-1.2345392608192896e-5,-0.00011345576581556216,-1.396138760156873e-7
reuse_support,0.5,REU,Capital,729,-2.3378404989671253e-6,-2.3061637088872544e-5,1.1807402056085436e-6
reuse_support,0.5,REU,Labour,729,-4.093968786200719e-6,-4.4275303856533554e-5,1.1745894368253573e-6
reuse_support,0.5,SK,Capital,729,-0.0003329799158069413,-0.022641405920598157,-3.0026939046301493e-6
reuse_support,0.5,SK,Labour,729,-0.0028380519007109584,-0.04371834058605195,-1.1776331798607487e-5
reuse_support,1.0,DE,Capital,729,-3.2824966100797326e-5,-0.00021176877326167798,-1.2513853286932886e-7
reuse_support,1.0,DE,Labour,729,-2.922413492312259e-5,-0.00018208444479972385,-1.1070720229433562e-6
reuse_support,1.0,FR,Capital,729,-0.0004761557610977185,-0.001439646483358814,-6.498101029484005e-5
reuse_support,1.0,FR,Labour,729,-1.4598143360800009e-5,-9.538425954636054e-5,7.443928806694089e-7
reuse_support,1.0,IT,Capital,729,-3.5013467569733336e-5,-0.0003648728240102095,-4.540443687695017e-7
reuse_support,1.0,IT,Labour,729,-5.2048422050088305e-5,-0.00034801472709178327,-3.1240151576739095e-6
reuse_support,1.0,PL,Capital,729,-5.458680188974441e-5,-0.0005022131852716605,-2.493547224258208e-6
reuse_support,1.0,PL,Labour,729,-3.693186410025362e-5,-0.0003754072042227996,-1.985116049318947e-6
reuse_support,1.0,REU,Capital,729,-8.625260750072528e-6,-8.144719211289342e-5,1.8053685213459403e-6
reuse_support,1.0,REU,Labour,729,-8.04812395616139e-6,-0.00010499243133788028,5.053952034650422e-6
reuse_support,1.0,SK,Capital,729,-0.0034878070451438425,-0.04750583237876915,-3.207002565730477e-5
reuse_support,1.0,SK,Labour,729,-0.04727621427368378,-0.15735786004528185,-0.0030915755685478885
reuse_support,2.0,DE,Capital,729,-0.00019496049981082564,-0.0010528645627116973,-1.7258776630058037e-7
reuse_support,2.0,DE,Labour,729,-9.301843437725665e-5,-0.0003589673917892,-4.1846314302596e-6
reuse_support,2.0,FR,Capital,729,-0.0013466570632392205,-0.0037735339047828553,-0.00038041651966302936
reuse_support,2.0,FR,Labour,729,-2.811614113751304e-5,-0.00018763259729270843,1.3968913914474967e-6
reuse_support,2.0,IT,Capital,729,-0.00014117901450116932,-0.0009579883613830553,-5.572622441274433e-6
reuse_support,2.0,IT,Labour,729,-8.188564846189905e-5,-0.0005590195829463518,-3.1305304126760802e-6
reuse_support,2.0,PL,Capital,729,-0.00021128016701732477,-0.0026103000757671246,-5.327440322222543e-6
reuse_support,2.0,PL,Labour,729,-0.00010926920734899426,-0.0011614859786512888,-3.2696003349208524e-6
reuse_support,2.0,REU,Capital,729,-3.5688209609752164e-5,-0.00024025621431222888,8.288849062676462e-6
