instrument,wedge_percent,family,valid_parameter_configurations,median_avoided_new_product_tonnes,lower_quartile_avoided_new_product_tonnes,upper_quartile_avoided_new_product_tonnes,median_avoided_new_product_percent,lower_quartile_avoided_new_product_percent,upper_quartile_avoided_new_product_percent,median_avoided_new_product_primary_metal_tonnes,lower_quartile_avoided_new_product_primary_metal_tonnes,upper_quartile_avoided_new_product_primary_metal_tonnes,median_avoided_new_product_recycled_metal_tonnes,lower_quartile_avoided_new_product_recycled_metal_tonnes,upper_quartile_avoided_new_product_recycled_metal_tonnes
reuse_support,0.5,ELMA,729,-375.56210662554076,-526.871894723372,84.5286601689877,-0.000432546018451161,-0.0006068139896862409,9.735416527941154e-5,-20.956190012337174,-361.645360325987,462.27674336337077,-0.0694522838667595,-0.6470479540801115,0.6617622665773855
reuse_support,0.5,OFMA,729,-3701.8067039343928,-5287.744021908358,-1963.64093370465,-0.10954205024654941,-0.15647233031458746,-0.05810710040517237,-49.2040573850319,-67.36584436963773,17.282788952018077,-0.21969029092629466,-0.5611395946309313,0.01906990077961247
reuse_support,0.5,RATV,729,-21491.427793342154,-32075.010335111292,8345.788213320775,-0.02681834886448599,-0.0400252056434096,0.010414396940313533,39.81997517889977,-45.837580466231884,152.49541342553493,0.12369271266541215,-0.7201441200476952,0.5155817111446139
reuse_support,0.5,all CE-RISE families,729,-20008.794150592144,-34752.41274477846,2277.0679105521367,-0.011746227078988654,-0.020401515881996644,0.0013367600541201062,37.42007670158813,-283.0930101633145,535.9061898673929,-0.21056051322795377,-1.0149615026392558,0.4871879125015881
reuse_support,1.0,ELMA,729,-833.9400842016767,-1177.2930955466145,154.12300276789756,-0.0009604735320326643,-0.0013559233800348991,0.00017750803401862073,-58.72524915354734,-731.4230276857124,1050.295778845306,0.10156777700622044,-1.2494269675196197,1.5223443454953127
reuse_support,1.0,OFMA,729,-4715.355799514585,-7403.800687041028,-2109.7259898551265,-0.1395344984846997,-0.21908964236660453,-0.06242997781098007,-44.90859605904997,-63.645142045600586,41.130014412503485,-0.29137112179404007,-0.8166272144591379,0.04841900400712344
reuse_support,1.0,RATV,729,-42015.74449347006,-63725.60391113348,21492.638564090477,-0.05242987597017897,-0.07952079748830218,0.026819859740014395,58.821614885349845,-80.50455287516525,368.272742911151,0.20491304949415712,-1.0335306995523075,1.0157773329826658
reuse_support,1.0,all CE-RISE families,729,-39389.249247373424,-69579.73165451994,11966.101681359105,-0.02312358569178636,-0.04084700566949952,0.0070247385495418434,169.06231249886167,-576.9966400802691,1236.0124375772361,-0.32366697734328254,-1.4565027190594113,1.489560429284612
reuse_support,2.0,ELMA,729,-1528.1984382607043,-2296.2757699336216,208.6369249434647,-0.0017600714720988214,-0.002644688918365746,0.00024029333522769227,-120.33482705552888,-1491.4040269072575,2110.0672461843205,0.0543520365519683,-2.5334427085966347,3.4539000252707552
reuse_support,2.0,OFMA,729,-5962.547043399677,-10136.286316378297,-2228.047310831361,-0.1764407707002407,-0.2999480183019846,-0.06593128436862428,-37.35624635717768,-62.93594209990704,73.0448656563172,-0.4144925661029418,-1.1922882027475332,0.1340921953029906
reuse_support,2.0,RATV,729,-69925.61136962101,-114182.11141718994,59119.62187689054,-0.0872575548867866,-0.1424835858983014,0.07377316479280724,83.27623747178586,-143.91086810474735,592.718532006711,0.27081224683329497,-1.3190942612015388,1.4713847660362127
reuse_support,2.0,all CE-RISE families,729,-71244.53117780466,-121580.46135311548,46039.05503284996,-0.04182433159400635,-0.07137420159723291,0.027027375605336367,118.6015281005142,-1300.1106855741305,2445.5571275438206,-0.7947281366838637,-2.520846173749681,2.674427765183775
virgin_metal_tax,0.25,ELMA,729,-9.411099616641877,-139.13270761081367,312.46250990979024,-1.0839042588725468e-5,-0.00016024326643100756,0.0003598723411983993,56.03921288068523,7.279403416803689,300.7162736833561,-75.749325919963,-150.2314495050526,-37.939640652236626
