cpa2_1	CPA_A014939	Raw skins of animals n.e.c. (fresh or preserved, but not further prepared)
cpa2_1	CPA_A016	Agricultural and animal husbandry services (except veterinary services)
cpa2_1	CPA_A0161	Support services to crop production
cpa2_1	CPA_A01611	Support services to crop production
cpa2_1	CPA_A016110	Support services to crop production
cpa2_1	CPA_A0162	Support services to animal production
cpa2_1	CPA_A01621	Support services to animal production
cpa2_1	CPA_A016210	Support services to animal production
cpa2_1	CPA_A0163	Post-harvest crop services
cpa2_1	CPA_A01631	Post-harvest crop services
cpa2_1	CPA_A016310	Post-harvest crop services
cpa2_1	CPA_A0164	Seed processing services for propagation
cpa2_1	CPA_A01641	Seed processing services for propagation
cpa2_1	CPA_A016410	Seed processing services for propagation
cpa2_1	CPA_A017	Hunting and trapping and related services
cpa2_1	CPA_A0170	Hunting and trapping and related services
cpa2_1	CPA_A01701	Hunting and trapping and related services
cpa2_1	CPA_A017010	Hunting and trapping and related services
cpa2_1	CPA_A02	Products of forestry, logging and related services
cpa2_1	CPA_A021	Forest trees and nursery services
cpa2_1	CPA_A0210	Forest trees and nursery services
cpa2_1	CPA_A02101	Live forest tree plants; forest tree seeds
cpa2_1	CPA_A021011	Live forest tree plants
cpa2_1	CPA_A021012	Forest tree seeds
cpa2_1	CPA_A02102	Forest trees nurseries services
cpa2_1	CPA_A021020	Forest trees nurseries services
cpa2_1	CPA_A02103	Forest trees
cpa2_1	CPA_A021030	Forest trees
cpa2_1	CPA_A022	Wood in the rough
cpa2_1	CPA_A0220	Wood in the rough
cpa2_1	CPA_A02201	Wood in the rough
cpa2_1	CPA_A022011	Logs of coniferous wood
cpa2_1	CPA_A022012	Logs of non-coniferous wood, except tropical wood
cpa2_1	CPA_A022013	Logs of tropical wood
cpa2_1	CPA_A022014	Fuel wood of coniferous wood
cpa2_1	CPA_A022015	Fuel wood of non-coniferous wood
cpa2_1	CPA_A023	Wild growing non-wood products
cpa2_1	CPA_A0230	Wild growing non-wood products
cpa2_1	CPA_A02301	Natural gums
cpa2_1	CPA_A023011	Balata, gutta-percha, guayula, chicle and similar natural gums
cpa2_1	CPA_A023012	Lac, balsams and other natural gums and resins
cpa2_1	CPA_A02302	Natural cork, raw or simply prepared
cpa2_1	CPA_A023020	Natural cork, raw or simply prepared
cpa2_1	CPA_A02303	Parts of plants, grasses, mosses and lichens suitable for ornamental purposes
cpa2_1	CPA_A023030	Parts of plants, grasses, mosses and lichens suitable for ornamental purposes
cpa2_1	CPA_A02304	Wild growing edible products
cpa2_1	CPA_A023040	Wild growing edible products
cpa2_1	CPA_A024	Support services to forestry
cpa2_1	CPA_A0240	Support services to forestry
cpa2_1	CPA_A02401	Support services to forestry
cpa2_1	CPA_A024010	Support services to forestry
