subset,parent_set,item
refurbishment_route_industries,industries,IND_REU_REF_ELMA
reu_industries,industries,IND_REU_REF_OFMA
service_route_industries,industries,IND_REU_REF_OFMA
refurbishment_route_industries,industries,IND_REU_REF_OFMA
reu_industries,industries,IND_REU_REF_RATV
service_route_industries,industries,IND_REU_REF_RATV
refurbishment_route_industries,industries,IND_REU_REF_RATV
reu_industries,industries,IND_REU_REU_ELMA
service_route_industries,industries,IND_REU_REU_ELMA
reuse_route_industries,industries,IND_REU_REU_ELMA
reu_industries,industries,IND_REU_REU_OFMA
service_route_industries,industries,IND_REU_REU_OFMA
reuse_route_industries,industries,IND_REU_REU_OFMA
reu_industries,industries,IND_REU_REU_RATV
service_route_industries,industries,IND_REU_REU_RATV
reuse_route_industries,industries,IND_REU_REU_RATV
reu_industries,industries,IND_REU_REC_EE
eol_processing_industries,industries,IND_REU_REC_EE
reu_industries,industries,IND_REU_INC_EE
eol_processing_industries,industries,IND_REU_INC_EE
reu_industries,industries,IND_REU_CONSTRUCTION
reu_industries,industries,IND_REU_UTIL_WASTE
reu_industries,industries,IND_REU_TRADE
reu_industries,industries,IND_REU_TRANSPORT
reu_industries,industries,IND_REU_OTHER_MANUFACTURING
reu_industries,industries,IND_REU_OTHER_SERVICES
reu_industries,industries,IND_REU_PUBLIC_SOCIAL
reu_factors,factors,FAC_REU_LAB
reu_factors,factors,FAC_REU_CAP
reu_institutions,institutions,INS_REU_HH
reu_institutions,institutions,INS_REU_GOV
reu_institutions,institutions,INS_REU_INV
reu_externals,externals,EXT_REU_EXT
service_routes,routes,NEW
service_routes,routes,REF
service_routes,routes,REP
service_routes,routes,REU
life_extension_routes,routes,REF
life_extension_routes,routes,REP
life_extension_routes,routes,REU
eol_routes,routes,REF
eol_routes,routes,REP
eol_routes,routes,REU
eol_routes,routes,REC
eol_routes,routes,INC
