map,from_item,to_item
industry_to_eol_target,IND_REU_REP_ELMA,EOL_REU_ELMA
industry_to_route,IND_REU_REU_ELMA,REU
industry_to_family,IND_REU_REU_ELMA,ELMA
industry_to_regional_family,IND_REU_REU_ELMA,REU__ELMA
industry_to_service_target,IND_REU_REU_ELMA,TST_REU_ELMA
industry_to_eol_target,IND_REU_REU_ELMA,EOL_REU_ELMA
industry_to_route,IND_REU_REC_EE,REC
industry_to_family,IND_REU_REC_EE,ELMA
industry_to_regional_family,IND_REU_REC_EE,REU__ELMA
industry_to_eol_target,IND_REU_REC_EE,EOL_REU_ELMA
industry_to_material_target,IND_REU_REC_EE,METAL
industry_to_route,IND_REU_INC_EE,INC
industry_to_family,IND_REU_INC_EE,ELMA
industry_to_regional_family,IND_REU_INC_EE,REU__ELMA
industry_to_eol_target,IND_REU_INC_EE,EOL_REU_ELMA
industry_to_route,IND_REU_NEW_OFMA,NEW
industry_to_family,IND_REU_NEW_OFMA,OFMA
industry_to_regional_family,IND_REU_NEW_OFMA,REU__OFMA
industry_to_service_target,IND_REU_NEW_OFMA,TST_REU_OFMA
industry_to_eol_target,IND_REU_NEW_OFMA,EOL_REU_OFMA
industry_to_route,IND_REU_REF_OFMA,REF
industry_to_family,IND_REU_REF_OFMA,OFMA
industry_to_regional_family,IND_REU_REF_OFMA,REU__OFMA
industry_to_service_target,IND_REU_REF_OFMA,TST_REU_OFMA
industry_to_eol_target,IND_REU_REF_OFMA,EOL_REU_OFMA
industry_to_route,IND_REU_REP_OFMA,REP
industry_to_family,IND_REU_REP_OFMA,OFMA
industry_to_regional_family,IND_REU_REP_OFMA,REU__OFMA
industry_to_service_target,IND_REU_REP_OFMA,TST_REU_OFMA
industry_to_eol_target,IND_REU_REP_OFMA,EOL_REU_OFMA
industry_to_route,IND_REU_REU_OFMA,REU
industry_to_family,IND_REU_REU_OFMA,OFMA
industry_to_regional_family,IND_REU_REU_OFMA,REU__OFMA
industry_to_service_target,IND_REU_REU_OFMA,TST_REU_OFMA
industry_to_eol_target,IND_REU_REU_OFMA,EOL_REU_OFMA
industry_to_family,IND_REU_REC_EE,OFMA
industry_to_regional_family,IND_REU_REC_EE,REU__OFMA
industry_to_eol_target,IND_REU_REC_EE,EOL_REU_OFMA
industry_to_family,IND_REU_INC_EE,OFMA
industry_to_regional_family,IND_REU_INC_EE,REU__OFMA
industry_to_eol_target,IND_REU_INC_EE,EOL_REU_OFMA
industry_to_route,IND_REU_NEW_RATV,NEW
industry_to_family,IND_REU_NEW_RATV,RATV
industry_to_regional_family,IND_REU_NEW_RATV,REU__RATV
industry_to_service_target,IND_REU_NEW_RATV,TST_REU_RATV
industry_to_eol_target,IND_REU_NEW_RATV,EOL_REU_RATV
industry_to_route,IND_REU_REF_RATV,REF
industry_to_family,IND_REU_REF_RATV,RATV
industry_to_regional_family,IND_REU_REF_RATV,REU__RATV
industry_to_service_target,IND_REU_REF_RATV,TST_REU_RATV
industry_to_eol_target,IND_REU_REF_RATV,EOL_REU_RATV
industry_to_route,IND_REU_REP_RATV,REP
industry_to_family,IND_REU_REP_RATV,RATV
industry_to_regional_family,IND_REU_REP_RATV,REU__RATV
industry_to_service_target,IND_REU_REP_RATV,TST_REU_RATV
industry_to_eol_target,IND_REU_REP_RATV,EOL_REU_RATV
industry_to_route,IND_REU_REU_RATV,REU
industry_to_family,IND_REU_REU_RATV,RATV
industry_to_regional_family,IND_REU_REU_RATV,REU__RATV
industry_to_service_target,IND_REU_REU_RATV,TST_REU_RATV
industry_to_eol_target,IND_REU_REU_RATV,EOL_REU_RATV
industry_to_family,IND_REU_REC_EE,RATV
industry_to_regional_family,IND_REU_REC_EE,REU__RATV
industry_to_eol_target,IND_REU_REC_EE,EOL_REU_RATV
industry_to_family,IND_REU_INC_EE,RATV
industry_to_regional_family,IND_REU_INC_EE,REU__RATV
industry_to_eol_target,IND_REU_INC_EE,EOL_REU_RATV
regional_family_to_service_target,DE__ELMA,TST_DE_ELMA
regional_family_to_eol_target,DE__ELMA,EOL_DE_ELMA
regional_family_to_service_target,DE__OFMA,TST_DE_OFMA
regional_family_to_eol_target,DE__OFMA,EOL_DE_OFMA
regional_family_to_service_target,DE__RATV,TST_DE_RATV
regional_family_to_eol_target,DE__RATV,EOL_DE_RATV
regional_family_to_service_target,FR__ELMA,TST_FR_ELMA
regional_family_to_eol_target,FR__ELMA,EOL_FR_ELMA
regional_family_to_service_target,FR__OFMA,TST_FR_OFMA
regional_family_to_eol_target,FR__OFMA,EOL_FR_OFMA
regional_family_to_service_target,FR__RATV,TST_FR_RATV
regional_family_to_eol_target,FR__RATV,EOL_FR_RATV
regional_family_to_service_target,IT__ELMA,TST_IT_ELMA
regional_family_to_eol_target,IT__ELMA,EOL_IT_ELMA
regional_family_to_service_target,IT__OFMA,TST_IT_OFMA
regional_family_to_eol_target,IT__OFMA,EOL_IT_OFMA
regional_family_to_service_target,IT__RATV,TST_IT_RATV
regional_family_to_eol_target,IT__RATV,EOL_IT_RATV
regional_family_to_service_target,PL__ELMA,TST_PL_ELMA
regional_family_to_eol_target,PL__ELMA,EOL_PL_ELMA
regional_family_to_service_target,PL__OFMA,TST_PL_OFMA
regional_family_to_eol_target,PL__OFMA,EOL_PL_OFMA
regional_family_to_service_target,PL__RATV,TST_PL_RATV
regional_family_to_eol_target,PL__RATV,EOL_PL_RATV
regional_family_to_service_target,SK__ELMA,TST_SK_ELMA
regional_family_to_eol_target,SK__ELMA,EOL_SK_ELMA
regional_family_to_service_target,SK__OFMA,TST_SK_OFMA
regional_family_to_eol_target,SK__OFMA,EOL_SK_OFMA
regional_family_to_service_target,SK__RATV,TST_SK_RATV
regional_family_to_eol_target,SK__RATV,EOL_SK_RATV
regional_family_to_service_target,REU__ELMA,TST_REU_ELMA
regional_family_to_eol_target,REU__ELMA,EOL_REU_ELMA
regional_family_to_service_target,REU__OFMA,TST_REU_OFMA
regional_family_to_eol_target,REU__OFMA,EOL_REU_OFMA
regional_family_to_service_target,REU__RATV,TST_REU_RATV
regional_family_to_eol_target,REU__RATV,EOL_REU_RATV
industry_to_material_target,IND_DE_BASIC_METALS,METAL
industry_to_material_target,IND_FR_BASIC_METALS,METAL
industry_to_material_target,IND_IT_BASIC_METALS,METAL
industry_to_material_target,IND_PL_BASIC_METALS,METAL
industry_to_material_target,IND_SK_BASIC_METALS,METAL
industry_to_material_target,IND_REU_BASIC_METALS,METAL
