account_id	account_type	region	source_code	account_label
COM:FR:REC_EE	commodity	FR	REC_EE	FR commodity: Recycling and recovery activities for CE-RISE chains
COM:FR:REF_ELMA	commodity	FR	REF_ELMA	FR commodity: Refurbishment route for ELMA
COM:FR:REF_OFMA	commodity	FR	REF_OFMA	FR commodity: Refurbishment route for OFMA
COM:FR:REF_RATV	commodity	FR	REF_RATV	FR commodity: Refurbishment route for RATV
COM:FR:REP_ELMA	commodity	FR	REP_ELMA	FR commodity: Repair activities linked to ELMA
COM:FR:REP_OFMA	commodity	FR	REP_OFMA	FR commodity: Repair activities linked to OFMA
COM:FR:REP_RATV	commodity	FR	REP_RATV	FR commodity: Repair activities linked to RATV
COM:FR:REU_ELMA	commodity	FR	REU_ELMA	FR commodity: Reuse route for ELMA
COM:FR:REU_OFMA	commodity	FR	REU_OFMA	FR commodity: Reuse route for OFMA
COM:FR:REU_RATV	commodity	FR	REU_RATV	FR commodity: Reuse route for RATV
COM:FR:TRADE	commodity	FR	TRADE	FR commodity: Trade services
COM:FR:TRANSPORT	commodity	FR	TRANSPORT	FR commodity: Transport and storage
COM:FR:UTIL_WASTE	commodity	FR	UTIL_WASTE	FR commodity: Utilities, water, and residual waste services
COM:IT:AGRI_FOOD	commodity	IT	AGRI_FOOD	IT commodity: Agriculture and food
COM:IT:BASIC_METALS	commodity	IT	BASIC_METALS	IT commodity: Basic metals
COM:IT:CONSTRUCTION	commodity	IT	CONSTRUCTION	IT commodity: Construction
COM:IT:EXTRACTIVE	commodity	IT	EXTRACTIVE	IT commodity: Extractive industries
COM:IT:INC_EE	commodity	IT	INC_EE	IT commodity: Incineration and disposal activities for CE-RISE chains
COM:IT:METAL_COMPONENTS	commodity	IT	METAL_COMPONENTS	IT commodity: Metal components and fabricated metals
COM:IT:NEW_ELMA	commodity	IT	NEW_ELMA	IT commodity: New CE-RISE electrical equipment
COM:IT:NEW_OFMA	commodity	IT	NEW_OFMA	IT commodity: New CE-RISE office machinery and computers
COM:IT:NEW_RATV	commodity	IT	NEW_RATV	IT commodity: New CE-RISE communication and consumer electronics
COM:IT:OTHER_MANUFACTURING	commodity	IT	OTHER_MANUFACTURING	IT commodity: Other manufacturing
COM:IT:OTHER_SERVICES	commodity	IT	OTHER_SERVICES	IT commodity: Other market services
COM:IT:PUBLIC_SOCIAL	commodity	IT	PUBLIC_SOCIAL	IT commodity: Public and social services
COM:IT:REC_EE	commodity	IT	REC_EE	IT commodity: Recycling and recovery activities for CE-RISE chains
COM:IT:REF_ELMA	commodity	IT	REF_ELMA	IT commodity: Refurbishment route for ELMA
