recycled_origin	destination_region	destination_activity	source_use_kind	source_use_target	allocated_value_meur	primary_metal_reduction_meur	allocation_weight
DE	DE	REF_RATV	final	P3_S13	0.0003651185568756212	0.0003651185568756212	7.702300224582683e-5
DE	DE	REP_ELMA	final	P3_S13	1.1084722672538581e-7	1.1084722672538581e-7	2.3383599743799087e-8
DE	DE	REP_RATV	final	P3_S13	2.3836741188860333e-7	2.3836741188860333e-7	5.028441681610321e-8
DE	DE	REU_ELMA	final	P3_S13	1.1043712817698692e-5	1.1043712817698692e-5	2.329708805925302e-6
DE	DE	REU_RATV	final	P3_S13	1.7007453565924936e-5	1.7007453565924936e-5	3.5877802142230634e-6
DE	DE	TRADE	final	P3_S13	0.0025877038006116813	0.0025877038006116813	0.0005458849239315565
DE	DE	TRANSPORT	final	P3_S13	0.0038930636134224855	0.0038930636134224855	0.000821255019207182
DE	DE	UTIL_WASTE	final	P3_S13	0.007326946006238135	0.007326946006238135	0.0015456441971142465
DE	DE	AGRI_FOOD	final	P3_S13	0.0014467853799509268	0.0014467853799509268	0.000305204300002617
DE	DE	BASIC_METALS	final	P3_S13	0.12982146221089688	0.12982146221089688	0.02738627929785751
DE	DE	CONSTRUCTION	final	P3_S13	0.00982031993920596	0.00982031993920596	0.002071629914416718
DE	DE	EXTRACTIVE	final	P3_S13	0.0003184533156931914	0.0003184533156931914	6.717881079427936e-5
DE	DE	INC_EE	final	P3_S13	1.2324965485728174e-7	1.2324965485728174e-7	2.5999934169611743e-8
DE	DE	METAL_COMPONENTS	final	P3_S13	0.042446290744761486	0.042446290744761486	0.008954189497617055
DE	DE	NEW_ELMA	final	P3_S13	0.008478176114521918	0.008478176114521918	0.001788500106642864
DE	DE	NEW_OFMA	final	P3_S13	1.721124661063702e-8	1.721124661063702e-8	3.6307710506101878e-9
DE	DE	NEW_RATV	final	P3_S13	0.0020205410025677965	0.0020205410025677965	0.0004262400013581885
DE	DE	OTHER_MANUFACTURING	final	P3_S13	0.07695296790394117	0.07695296790394117	0.01623349048705679
DE	DE	OTHER_SERVICES	final	P3_S13	0.005398011531212148	0.005398011531212148	0.0011387289045217885
DE	DE	PUBLIC_SOCIAL	final	P3_S13	0.0008177805311789129	0.0008177805311789129	0.00017251358635010137
DE	DE	REC_EE	final	P3_S13	3.3534005017948057e-7	3.3534005017948057e-7	7.074112490778855e-8
DE	DE	REF_ELMA	final	P3_S13	0.00015499042371440767	0.00015499042371440767	3.269575738902565e-5
DE	DE	REF_RATV	final	P3_S13	0.00010985336471859768	0.00010985336471859768	2.3173941170879824e-5
DE	DE	REP_ELMA	final	P3_S13	6.57025265433377e-8	6.57025265433377e-8	1.3860171591409714e-8
DE	DE	REP_RATV	final	P3_S13	1.7989786491408532e-7	1.7989786491408532e-7	3.7950066882021635e-8
DE	DE	REU_ELMA	final	P3_S13	3.4465292436761934e-6	3.4465292436761934e-6	7.270570741393727e-7
DE	DE	REU_RATV	final	P3_S13	5.510184516993611e-6	5.510184516993611e-6	1.1623921776506585e-6
DE	DE	TRADE	final	P3_S13	0.0009258949142957158	0.0009258949142957158	0.00019532068343349726
