table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	AGRI_FOOD	PL	METAL_COMPONENTS	0.945132563293383	0.945132563293383	0.9451325991605998	3.586721675219451e-8	3.586721675219451e-8
intermediate	DE	AGRI_FOOD	PL	NEW_ELMA	0.9875277495757885	0.9875277495757885	0.9875277693889384	1.981314989851768e-8	1.981314989851768e-8
intermediate	DE	AGRI_FOOD	PL	OTHER_MANUFACTURING	63.77481719864393	63.77481719864393	63.774825519946816	8.32130288586086e-6	8.32130288586086e-6
intermediate	DE	AGRI_FOOD	PL	OTHER_SERVICES	95.10386015810283	95.10386015810283	95.103885705312	2.5547209162368745e-5	2.5547209162368745e-5
intermediate	DE	AGRI_FOOD	PL	PUBLIC_SOCIAL	21.95236326349634	21.95236326349634	21.952366864175485	3.6006791432896534e-6	3.6006791432896534e-6
intermediate	DE	AGRI_FOOD	PL	REF_RATV	0.5946268800087664	0.5946268800087664	0.5946268921685466	1.2159780182763313e-8	1.2159780182763313e-8
intermediate	DE	AGRI_FOOD	PL	REU_ELMA	0.21699289651933634	0.21699289651933634	0.2169929065445608	1.0025224456144954e-8	1.0025224456144954e-8
intermediate	DE	AGRI_FOOD	PL	TRADE	58.11768417477388	58.11768417477388	58.11769461566656	1.044089268020798e-5	1.044089268020798e-5
intermediate	DE	AGRI_FOOD	PL	TRANSPORT	4.174707018628293	4.174707018628293	4.174707092338629	7.371033561298646e-8	7.371033561298646e-8
intermediate	DE	AGRI_FOOD	PL	UTIL_WASTE	5.244292055615222	5.244292055615222	5.244294201196926	2.1455817034166103e-6	2.1455817034166103e-6
intermediate	DE	AGRI_FOOD	REU	AGRI_FOOD	7869.254844044614	7869.254844044614	7869.213602592565	-0.04124145204968954	-0.04124145204968954
intermediate	DE	AGRI_FOOD	REU	BASIC_METALS	11.65120540576754	11.65120540576754	11.651206799194544	1.393427004003911e-6	1.393427004003911e-6
intermediate	DE	AGRI_FOOD	REU	CONSTRUCTION	44.32539351877921	44.32539351877921	44.32539225149253	-1.2672866773755231e-6	-1.2672866773755231e-6
intermediate	DE	AGRI_FOOD	REU	EXTRACTIVE	5.724738796797946	5.724738796797946	5.724738785385429	-1.1412517153530644e-8	-1.1412517153530644e-8
intermediate	DE	AGRI_FOOD	REU	INC_EE	0.10404855170762163	0.10404855170762163	0.10404861351682355	6.180920192333517e-8	6.180920192333517e-8
intermediate	DE	AGRI_FOOD	REU	METAL_COMPONENTS	11.895763261084033	11.895763261084033	11.895763328825666	6.774163274769762e-8	6.774163274769762e-8
intermediate	DE	AGRI_FOOD	REU	NEW_RATV	17.107146629064566	17.107146629064566	17.10714649734836	-1.3171620594221167e-7	-1.3171620594221167e-7
intermediate	DE	AGRI_FOOD	REU	OTHER_MANUFACTURING	900.0417336263598	900.0417336263598	900.0412600791578	-0.00047354720197745337	-0.00047354720197745337
intermediate	DE	AGRI_FOOD	REU	OTHER_SERVICES	2625.541081881766	2625.541081881766	2625.536406410105	-0.004675471660902986	-0.004675471660902986
intermediate	DE	AGRI_FOOD	REU	PUBLIC_SOCIAL	427.09626261962035	427.09626261962035	427.096158049229	-0.0001045703913291618	-0.0001045703913291618
intermediate	DE	AGRI_FOOD	REU	REF_ELMA	2.424662817144883	2.424662817144883	2.4246628320900436	1.494516066458118e-8	1.494516066458118e-8
intermediate	DE	AGRI_FOOD	REU	REF_RATV	6.905168794444978	6.905168794444978	6.90516881945088	2.5005902237751343e-8	2.5005902237751343e-8
intermediate	DE	AGRI_FOOD	REU	TRADE	262.9495084980302	262.9495084980302	262.94946393386095	-4.456416922948847e-5	-4.456416922948847e-5
intermediate	DE	AGRI_FOOD	REU	TRANSPORT	69.38531629297756	69.38531629297756	69.38531323325705	-3.0597205125104665e-6	-3.0597205125104665e-6
intermediate	DE	AGRI_FOOD	REU	UTIL_WASTE	80.72030120528133	80.72030120528133	80.72030354667704	2.3413957137563557e-6	2.3413957137563557e-6
intermediate	DE	AGRI_FOOD	ROW	AGRI_FOOD	2728.2184649226956	2728.2184649226956	2728.213276662072	-0.00518826062352673	-0.00518826062352673
intermediate	DE	AGRI_FOOD	ROW	BASIC_METALS	19.75682579217878	19.75682579217878	19.75682552009802	-2.7208076147644533e-7	-2.7208076147644533e-7
intermediate	DE	AGRI_FOOD	ROW	CONSTRUCTION	52.798316651779565	52.798316651779565	52.79831470864155	-1.9431380167134193e-6	-1.9431380167134193e-6
intermediate	DE	AGRI_FOOD	ROW	EXTRACTIVE	15.046309193842506	15.046309193842506	15.046309036036524	-1.5780598161541093e-7	-1.5780598161541093e-7
intermediate	DE	AGRI_FOOD	ROW	METAL_COMPONENTS	8.869576225602431	8.869576225602431	8.869576170765994	-5.483643761294843e-8	-5.483643761294843e-8
intermediate	DE	AGRI_FOOD	ROW	NEW_ELMA	9.287059824591402	9.287059824591402	9.287059764471262	-6.01201399774709e-8	-6.01201399774709e-8
intermediate	DE	AGRI_FOOD	ROW	NEW_OFMA	4.261790620194711	4.261790620194711	4.261790607534302	-1.266040872138774e-8	-1.266040872138774e-8
intermediate	DE	AGRI_FOOD	ROW	NEW_RATV	15.369406176475708	15.369406176475708	15.369406011819667	-1.646560416901366e-7	-1.646560416901366e-7
intermediate	DE	AGRI_FOOD	ROW	OTHER_MANUFACTURING	523.3467624072655	523.3467624072655	523.3465714911542	-0.0001909161112507718	-0.0001909161112507718
intermediate	DE	AGRI_FOOD	ROW	OTHER_SERVICES	912.2264303713092	912.2264303713092	912.225850316812	-0.0005800544972771604	-0.0005800544972771604
intermediate	DE	AGRI_FOOD	ROW	PUBLIC_SOCIAL	264.96743650312345	264.96743650312345	264.96738756486565	-4.89382578052755e-5	-4.89382578052755e-5
intermediate	DE	AGRI_FOOD	ROW	TRADE	130.1841946010693	130.1841946010693	130.18418278753035	-1.1813538947080815e-5	-1.1813538947080815e-5
intermediate	DE	AGRI_FOOD	ROW	TRANSPORT	37.65450961020291	37.65450961020291	37.654508621883124	-9.883197833460144e-7	-9.883197833460144e-7
intermediate	DE	AGRI_FOOD	ROW	UTIL_WASTE	16.57087689841743	16.57087689841743	16.5708767070119	-1.914055296481365e-7	-1.914055296481365e-7
intermediate	DE	AGRI_FOOD	SK	AGRI_FOOD	72.66888858151601	72.66888858151601	72.66889852341095	9.941894930420858e-6	9.941894930420858e-6
intermediate	DE	AGRI_FOOD	SK	OTHER_MANUFACTURING	14.72451708799286	14.72451708799286	14.724517108807927	2.081506700335467e-8	2.081506700335467e-8
